Batch_ID,Avg_Pour_Temp,Cooling_Rate_Zone3,Gas_Pretreatment_Level,Alloy_Composition,Mould_Sand_Humidity,Casting_Thickness,Defect_Type
CAST_B0913,,1.01,3.0,Al-Si7Mg,3.49,17.2,No Defect
CAST_B0914,739.93,2.31,5.0,Al-Si7Mg,3.49,28.6,Shrinkage Porosity
CAST_B0915,728.67,0.95,4.0,Al-Zn10,3.18,23.1,No Defect
CAST_B0916,727.78,0.87,2.0,Al-Cu4,8.5,16.6,Gas Porosity
CAST_B0917,730.46,0.98,5.0,Al-Si7Mg,4.02,26.5,No Defect
CAST_B0918,727.79,1.02,3.0,Al-Zn10,2.67,13.1,No Defect
CAST_B0919,738.06,1.96,3.0,Al-Zn10,2.67,28.2,Shrinkage Porosity
CAST_B0920,729.79,1.04,4.0,Al-Si7Mg,4.13,16.7,No Defect
CAST_B0921,721.4,0.83,1.0,Al-Si7Mg,7.1,13.7,Gas Porosity
CAST_B0922,738.72,1.41,1.0,Al-Zn10,7.1,25.8,Shrinkage Porosity
CAST_B0923,729.85,1.05,4.0,Al-Zn10,3.09,12.4,No Defect
CAST_B0924,728.05,0.95,4.0,Al-Zn10,4.0,,No Defect
CAST_B0925,729.98,0.99,3.0,Al-Zn10,3.7,14.8,No Defect
CAST_B0926,731.28,1.08,5.0,Al-Zn10,3.49,25.1,No Defect
CAST_B0927,728.01,0.88,4.0,Al-Si7Mg,3.67,25.5,No Defect
CAST_B0928,729.8,0.97,5.0,Al-Cu4,3.3,18.1,No Defect
CAST_B0929,730.25,0.98,4.0,Al-Cu4,3.34,31.9,No Defect
CAST_B0930,728.88,0.99,5.0,Al-Si7Mg,2.97,24.4,No Defect
CAST_B0931,,0.67,1.0,Al-Si7Mg,4.77,22.1,Gas Porosity
CAST_B0932,730.3,1.02,4.0,Al-Si7Mg,3.26,24.5,No Defect
CAST_B0933,,1.09,1.0,Al-Zn10,5.88,19.6,Gas Porosity
CAST_B0934,729.07,0.95,1.0,Al-Si7Mg,3.52,18.6,Gas Porosity
CAST_B0935,730.11,1.08,2.0,Al-Cu4,7.6,24.5,Gas Porosity
CAST_B0936,722.16,1.06,1.0,Al-Si7Mg,9.15,17.5,Gas Porosity
CAST_B0937,728.64,0.98,4.0,Al-Si7Mg,2.89,24.9,No Defect
CAST_B0938,741.51,1.52,5.0,Al-Zn10,2.89,22.8,Shrinkage Porosity
CAST_B0939,730.76,1.0,4.0,Al-Zn10,2.95,28.6,No Defect
CAST_B0940,,0.88,4.0,Al-Si7Mg,3.75,26.2,No Defect
CAST_B0941,725.09,0.89,2.0,Al-Zn10,6.43,25.1,Gas Porosity
CAST_B0942,741.02,2.14,4.0,Al-Cu4,4.89,16.0,Hot Tear
CAST_B0943,730.54,1.05,5.0,Al-Zn10,3.93,19.2,No Defect
CAST_B0944,746.1,1.89,2.0,Al-Si7Mg,3.93,30.5,Shrinkage Porosity
CAST_B0945,729.52,1.05,4.0,Al-Cu4,4.22,16.9,No Defect
CAST_B0946,730.05,0.99,5.0,Al-Cu4,3.33,22.7,No Defect
,737.44,2.03,3.0,Al-Si7Mg,3.33,32.4,Shrinkage Porosity
CAST_B0948,729.51,1.01,4.0,Al-Zn10,3.35,15.2,No Defect
CAST_B0949,741.9,2.55,5.0,Al-Zn10,2.98,15.7,Hot Tear
CAST_B0950,728.83,0.96,3.0,Al-Si7Mg,3.23,23.8,No Defect
CAST_B0951,729.63,0.96,4.0,Al-Cu4,2.84,20.8,No Defect
CAST_B0952,736.55,1.48,5.0,Al-Si7Mg,2.84,33.0,Shrinkage Porosity
CAST_B0953,736.5,1.91,1.0,Al-Cu4,2.84,31.4,Shrinkage Porosity
CAST_B0954,730.92,1.0,5.0,Al-Cu4,3.51,14.6,No Defect
CAST_B0955,739.65,1.5,2.0,Al-Zn10,3.51,29.1,Shrinkage Porosity
CAST_B0956,727.84,1.02,3.0,Al-Si7Mg,3.76,19.7,No Defect
CAST_B0957,729.33,0.96,3.0,Al-Cu4,2.62,16.8,No Defect
CAST_B0958,720.73,1.09,1.0,Al-Zn10,6.57,14.6,Gas Porosity
CAST_B0959,730.87,1.01,5.0,Al-Zn10,3.6,12.2,No Defect
CAST_B0960,726.18,1.27,2.0,Al-Si7Mg,4.76,15.2,Gas Porosity
CAST_B0961,731.45,0.94,3.0,Al-Zn10,3.98,19.6,No Defect
CAST_B0962,727.81,0.98,5.0,Al-Zn10,4.15,17.3,No Defect
CAST_B0963,730.05,1.07,3.0,Al-Si7Mg,3.57,24.1,No Defect
CAST_B0964,750.59,2.43,3.0,Al-Zn10,4.04,14.6,Hot Tear
CAST_B0965,729.49,0.92,4.0,Al-Zn10,3.85,24.6,No Defect
CAST_B0966,729.63,1.05,5.0,Al-Cu4,4.08,12.0,No Defect
,729.21,0.99,5.0,Al-Si7Mg,3.17,22.7,No Defect
CAST_B0968,746.93,2.26,4.0,Al-Zn10,2.88,,Hot Tear
CAST_B0969,730.8,1.11,4.0,Al-Cu4,3.13,17.5,No Defect
,724.04,1.2,2.0,Al-Si7Mg,6.64,17.3,Gas Porosity
CAST_B0971,,1.02,5.0,Al-Si7Mg,3.7,14.7,No Defect
CAST_B0972,730.07,0.98,5.0,Al-Cu4,3.65,20.6,No Defect
CAST_B0973,739.6,1.49,5.0,Al-Cu4,3.65,29.5,Shrinkage Porosity
CAST_B0974,,0.9,5.0,Al-Zn10,3.52,,No Defect
CAST_B0975,729.98,0.95,3.0,Al-Cu4,3.45,19.7,No Defect
CAST_B0976,729.46,1.13,5.0,Al-Si7Mg,3.51,16.6,No Defect
CAST_B0977,730.23,0.96,4.0,Al-Cu4,3.29,27.2,No Defect
CAST_B0978,730.31,0.95,3.0,Al-Cu4,3.3,16.8,No Defect
CAST_B0979,728.74,0.93,3.0,Al-Cu4,3.69,29.4,No Defect
CAST_B0980,730.63,0.97,5.0,Al-Cu4,3.95,26.0,No Defect
CAST_B0981,742.62,1.85,4.0,Al-Cu4,3.95,31.9,Shrinkage Porosity
CAST_B0982,739.45,1.73,2.0,Al-Cu4,3.95,27.1,Shrinkage Porosity
CAST_B0983,729.55,0.96,4.0,Al-Cu4,2.98,16.1,No Defect
CAST_B0984,730.79,1.07,5.0,Al-Zn10,2.84,,No Defect
CAST_B0985,728.51,1.05,3.0,Al-Cu4,4.05,24.1,No Defect
CAST_B0986,739.04,1.76,5.0,Al-Zn10,4.05,,Shrinkage Porosity
,729.98,0.95,4.0,Al-Cu4,2.81,26.4,No Defect
CAST_B0988,737.93,2.48,4.0,Al-Cu4,2.81,27.9,Shrinkage Porosity
CAST_B0989,739.22,2.24,4.0,Al-Si7Mg,2.81,31.0,Shrinkage Porosity
CAST_B0990,728.64,1.02,5.0,Al-Zn10,4.05,,No Defect
CAST_B0991,729.39,1.01,3.0,Al-Cu4,3.03,20.4,No Defect
CAST_B0992,729.22,1.04,3.0,Al-Si7Mg,2.65,21.1,No Defect
,749.46,2.67,5.0,Al-Zn10,2.92,,Hot Tear
CAST_B0994,730.78,0.95,4.0,Al-Cu4,3.61,20.6,No Defect
CAST_B0995,728.94,0.97,3.0,Al-Cu4,2.71,25.3,No Defect
CAST_B0996,731.01,0.97,4.0,Al-Si7Mg,3.04,23.2,No Defect
CAST_B0997,729.06,1.02,5.0,Al-Cu4,3.8,17.9,No Defect
,730.38,1.04,3.0,Al-Zn10,3.34,24.4,No Defect
CAST_B0999,728.66,0.93,3.0,Al-Zn10,3.45,9.7,No Defect
CAST_B1000,730.34,1.09,3.0,Al-Si7Mg,3.35,23.7,No Defect
CAST_B1001,752.85,2.26,4.0,Al-Cu4,2.9,12.4,Hot Tear
CAST_B1002,730.29,0.96,5.0,Al-Si7Mg,2.96,22.0,No Defect
CAST_B1003,731.15,0.93,5.0,Al-Cu4,3.34,14.9,No Defect
,729.29,0.97,5.0,Al-Zn10,2.55,26.8,No Defect
CAST_B1005,730.52,,4.0,Al-Cu4,3.19,14.8,No Defect
CAST_B1006,733.06,1.08,2.0,Al-Cu4,8.68,11.8,Gas Porosity
CAST_B1007,723.24,1.16,1.0,Al-Zn10,6.18,9.5,Gas Porosity
CAST_B1008,730.04,0.97,4.0,Al-Zn10,3.36,15.0,No Defect
CAST_B1009,727.63,0.57,2.0,Al-Cu4,5.03,21.7,Gas Porosity
CAST_B1010,729.41,1.0,1.0,Al-Cu4,7.43,24.1,Gas Porosity
CAST_B1011,728.75,1.07,3.0,Al-Cu4,3.9,17.3,No Defect
CAST_B1012,729.32,1.03,4.0,Al-Zn10,2.91,18.2,No Defect
,741.53,1.24,1.0,Al-Si7Mg,2.91,35.2,Shrinkage Porosity
CAST_B1014,726.79,1.31,2.0,Al-Cu4,6.14,15.7,Gas Porosity
CAST_B1015,737.52,1.67,4.0,Al-Zn10,6.14,28.3,Shrinkage Porosity
CAST_B1016,753.39,2.7,2.0,Al-Cu4,4.34,17.0,Hot Tear
CAST_B1017,728.88,1.03,5.0,Al-Cu4,3.17,17.3,No Defect
CAST_B1018,730.25,0.94,4.0,Al-Zn10,3.79,26.8,No Defect
,729.79,0.94,4.0,Al-Si7Mg,3.98,26.9,No Defect
CAST_B1020,740.75,1.9,2.0,Al-Zn10,3.98,24.6,Shrinkage Porosity
CAST_B1021,730.97,,3.0,Al-Zn10,3.58,30.3,No Defect
CAST_B1022,746.01,2.77,2.0,Al-Cu4,4.69,14.6,Hot Tear
,728.74,0.95,5.0,Al-Cu4,3.7,7.2,No Defect
CAST_B1024,729.65,1.01,3.0,Al-Si7Mg,4.09,17.5,No Defect
,740.08,1.97,3.0,Al-Cu4,4.09,28.5,Shrinkage Porosity
CAST_B1026,730.68,0.97,5.0,Al-Si7Mg,4.01,,No Defect
CAST_B1027,730.24,1.02,3.0,Al-Zn10,3.71,14.0,No Defect
CAST_B1028,731.22,0.97,4.0,Al-Zn10,3.64,,No Defect
CAST_B1029,729.02,1.04,5.0,Al-Zn10,3.55,16.2,No Defect
CAST_B1030,730.77,1.04,4.0,Al-Cu4,3.15,,No Defect
CAST_B1031,730.16,1.04,4.0,Al-Si7Mg,3.77,21.5,No Defect
CAST_B1032,730.71,0.75,1.0,Al-Zn10,6.57,23.6,Gas Porosity
CAST_B1033,732.11,1.0,4.0,Al-Cu4,3.5,17.6,No Defect
CAST_B1034,736.44,1.95,2.0,Al-Si7Mg,3.5,26.4,Shrinkage Porosity
CAST_B1035,730.77,1.05,3.0,Al-Si7Mg,4.07,21.4,No Defect
CAST_B1036,731.45,,4.0,Al-Cu4,3.15,24.5,No Defect
CAST_B1037,730.06,0.99,3.0,Al-Cu4,2.27,,No Defect
CAST_B1038,728.69,1.05,3.0,Al-Zn10,4.0,20.6,No Defect
CAST_B1039,749.21,2.59,5.0,Al-Zn10,3.64,9.7,Hot Tear
CAST_B1040,727.83,0.99,4.0,Al-Cu4,4.01,20.5,No Defect
CAST_B1041,730.82,0.97,3.0,Al-Cu4,4.42,25.2,No Defect
CAST_B1042,730.93,1.02,3.0,Al-Si7Mg,3.21,21.2,No Defect
CAST_B1043,732.26,1.1,5.0,Al-Cu4,3.41,13.9,No Defect
CAST_B1044,729.3,1.01,5.0,Al-Cu4,2.58,18.4,No Defect
,730.65,0.98,3.0,Al-Zn10,3.32,28.3,No Defect
CAST_B1046,,2.09,2.0,Al-Zn10,3.32,31.3,Shrinkage Porosity
CAST_B1047,724.94,0.56,2.0,Al-Si7Mg,5.93,20.8,Gas Porosity
CAST_B1048,742.0,1.77,5.0,Al-Cu4,5.93,27.5,Shrinkage Porosity
CAST_B1049,734.91,1.46,4.0,Al-Cu4,5.93,31.8,Shrinkage Porosity
,729.64,1.03,3.0,Al-Si7Mg,3.19,,No Defect
CAST_B1051,731.8,1.0,3.0,Al-Cu4,3.34,18.0,No Defect
CAST_B1052,730.32,0.95,4.0,Al-Zn10,3.06,11.3,No Defect
CAST_B1053,730.8,1.04,3.0,Al-Si7Mg,3.72,19.7,No Defect
CAST_B1054,738.43,1.27,5.0,Al-Si7Mg,3.72,25.1,Shrinkage Porosity
CAST_B1055,729.76,,3.0,Al-Cu4,2.31,25.3,No Defect
CAST_B1056,730.55,1.02,5.0,Al-Cu4,3.65,20.8,No Defect
CAST_B1057,731.12,1.0,3.0,Al-Zn10,4.18,16.7,No Defect
CAST_B1058,731.66,1.02,3.0,Al-Cu4,3.76,29.6,No Defect
,722.31,0.87,2.0,Al-Cu4,5.15,24.6,Gas Porosity
CAST_B1060,728.42,1.11,4.0,Al-Zn10,3.95,,No Defect
CAST_B1061,730.24,0.98,4.0,Al-Si7Mg,3.66,14.2,No Defect
CAST_B1062,720.73,0.8,1.0,Al-Cu4,6.14,,Gas Porosity
CAST_B1063,731.42,0.96,3.0,Al-Zn10,3.68,15.8,No Defect
CAST_B1064,739.23,1.94,3.0,Al-Cu4,3.68,23.7,Shrinkage Porosity
,729.64,1.0,4.0,Al-Zn10,3.45,20.7,No Defect
CAST_B1066,731.2,1.01,5.0,Al-Si7Mg,3.21,,No Defect
CAST_B1067,730.67,1.14,3.0,Al-Si7Mg,2.72,20.1,No Defect
CAST_B1068,,1.04,3.0,Al-Cu4,3.59,28.6,No Defect
CAST_B1069,730.94,1.06,4.0,Al-Cu4,3.95,,No Defect
CAST_B1070,,0.93,5.0,Al-Cu4,3.06,14.7,No Defect
CAST_B1071,729.93,1.01,4.0,Al-Si7Mg,3.78,22.2,No Defect
CAST_B1072,730.6,1.03,5.0,Al-Cu4,3.77,,No Defect
CAST_B1073,743.1,1.83,5.0,Al-Si7Mg,3.77,28.7,Shrinkage Porosity
CAST_B1074,740.91,1.42,4.0,Al-Zn10,3.77,24.0,Shrinkage Porosity
CAST_B1075,741.73,1.55,1.0,Al-Zn10,4.61,13.8,Hot Tear
CAST_B1076,728.21,1.04,3.0,Al-Zn10,3.9,9.8,No Defect
,730.44,1.0,3.0,Al-Cu4,3.43,18.7,No Defect
CAST_B1078,724.41,1.19,1.0,Al-Cu4,4.85,30.9,Gas Porosity
CAST_B1079,729.24,0.99,3.0,Al-Si7Mg,4.29,20.1,No Defect
CAST_B1080,732.4,0.96,5.0,Al-Zn10,3.49,29.9,No Defect
,720.3,1.13,1.0,Al-Cu4,7.07,33.8,Gas Porosity
,730.27,0.97,5.0,Al-Cu4,3.37,21.8,No Defect
,729.21,0.96,5.0,Al-Cu4,3.6,17.4,No Defect
CAST_B1084,710.16,1.16,1.0,Al-Cu4,6.32,23.4,Gas Porosity
CAST_B1085,715.64,1.15,2.0,Al-Cu4,4.77,26.8,Gas Porosity
,737.13,1.91,2.0,Al-Cu4,4.77,29.6,Shrinkage Porosity
CAST_B1087,728.26,0.99,3.0,Al-Zn10,3.16,,No Defect
CAST_B1088,730.16,1.05,4.0,Al-Si7Mg,3.88,19.7,No Defect
CAST_B1089,,0.97,3.0,Al-Si7Mg,3.23,22.4,No Defect
CAST_B1090,729.23,0.89,3.0,Al-Zn10,3.51,,No Defect
,730.62,0.99,3.0,Al-Cu4,3.76,27.2,No Defect
CAST_B1092,729.65,0.9,3.0,Al-Zn10,3.93,17.7,No Defect
CAST_B1093,731.96,0.92,5.0,Al-Si7Mg,3.83,26.2,No Defect
CAST_B1094,730.02,0.95,4.0,Al-Zn10,3.16,18.3,No Defect
CAST_B1095,729.87,0.95,4.0,Al-Cu4,3.32,24.3,No Defect
CAST_B1096,730.7,0.98,3.0,Al-Cu4,2.8,23.0,No Defect
CAST_B1097,738.16,2.91,5.0,Al-Si7Mg,2.34,11.4,Hot Tear
CAST_B1098,729.49,1.02,4.0,Al-Si7Mg,3.8,10.0,No Defect
CAST_B1099,729.95,1.04,4.0,Al-Cu4,3.85,20.4,No Defect
CAST_B1100,729.87,1.03,5.0,Al-Zn10,3.71,18.2,No Defect
CAST_B1101,730.56,1.05,3.0,Al-Si7Mg,3.15,12.6,No Defect
CAST_B1102,728.98,1.02,4.0,Al-Zn10,3.6,28.1,No Defect
,728.16,0.94,,Al-Si7Mg,3.86,16.9,No Defect
CAST_B1104,,0.96,3.0,Al-Zn10,2.85,15.7,No Defect
CAST_B1105,729.8,1.0,5.0,Al-Cu4,2.98,14.0,No Defect
CAST_B1106,727.78,1.02,3.0,Al-Cu4,3.92,11.2,No Defect
CAST_B1107,739.56,1.58,3.0,Al-Zn10,3.92,29.3,Shrinkage Porosity
CAST_B1108,730.68,1.01,4.0,Al-Si7Mg,3.59,12.9,No Defect
CAST_B1109,740.28,2.07,2.0,Al-Zn10,3.59,23.3,Shrinkage Porosity
CAST_B1110,,1.93,1.0,Al-Si7Mg,3.59,28.1,Shrinkage Porosity
CAST_B1111,729.31,1.08,4.0,Al-Cu4,3.12,12.1,No Defect
CAST_B1112,730.47,1.06,3.0,Al-Si7Mg,3.8,,No Defect
CAST_B1113,729.72,0.96,4.0,Al-Cu4,3.44,,No Defect
CAST_B1114,730.47,0.94,5.0,Al-Si7Mg,4.21,,No Defect
CAST_B1115,729.57,0.98,3.0,Al-Zn10,3.61,10.2,No Defect
CAST_B1116,729.96,0.92,4.0,Al-Cu4,3.51,20.0,No Defect
CAST_B1117,730.05,1.05,4.0,Al-Cu4,3.96,17.2,No Defect
CAST_B1118,746.21,1.19,5.0,Al-Si7Mg,3.96,26.5,Shrinkage Porosity
CAST_B1119,,1.0,1.0,Al-Zn10,5.38,20.0,Gas Porosity
CAST_B1120,728.96,0.96,3.0,Al-Cu4,3.82,21.0,No Defect
CAST_B1121,728.64,1.09,4.0,Al-Si7Mg,3.36,18.6,No Defect
CAST_B1122,,0.69,1.0,Al-Cu4,7.07,15.6,Gas Porosity
CAST_B1123,,1.58,4.0,Al-Si7Mg,7.07,,Shrinkage Porosity
CAST_B1124,728.62,1.02,3.0,Al-Cu4,3.8,14.8,No Defect
CAST_B1125,721.78,0.89,1.0,Al-Cu4,6.35,14.5,Gas Porosity
CAST_B1126,,0.97,3.0,Al-Zn10,2.99,23.0,No Defect
CAST_B1127,728.03,1.29,2.0,Al-Cu4,5.73,23.0,Gas Porosity
CAST_B1128,730.89,1.07,5.0,Al-Cu4,3.47,16.7,No Defect
CAST_B1129,729.22,0.95,3.0,Al-Cu4,3.45,32.2,No Defect
CAST_B1130,729.85,1.0,5.0,Al-Si7Mg,3.16,22.6,No Defect
CAST_B1131,745.49,,2.0,Al-Cu4,3.68,11.2,Hot Tear
CAST_B1132,729.76,1.0,3.0,Al-Si7Mg,3.15,22.3,No Defect
CAST_B1133,729.71,0.97,4.0,Al-Zn10,2.91,17.5,No Defect
CAST_B1134,731.0,1.02,3.0,Al-Si7Mg,3.34,23.1,No Defect
CAST_B1135,730.08,0.92,5.0,Al-Zn10,2.85,23.4,No Defect
CAST_B1136,742.68,3.44,3.0,Al-Si7Mg,2.01,13.3,Hot Tear
CAST_B1137,730.38,0.98,3.0,Al-Si7Mg,4.02,17.9,No Defect
CAST_B1138,729.54,0.98,5.0,Al-Zn10,3.74,21.0,No Defect
CAST_B1139,728.61,1.07,4.0,Al-Si7Mg,4.11,19.4,No Defect
CAST_B1140,743.62,2.0,5.0,Al-Zn10,4.11,31.5,Shrinkage Porosity
CAST_B1141,729.19,0.97,3.0,Al-Cu4,3.53,24.7,No Defect
CAST_B1142,728.46,0.94,4.0,Al-Si7Mg,3.34,,No Defect
CAST_B1143,746.67,1.74,3.0,Al-Cu4,3.34,24.8,Shrinkage Porosity
CAST_B1144,729.44,1.02,3.0,Al-Zn10,4.31,20.2,No Defect
,729.31,0.95,3.0,Al-Zn10,3.51,19.2,No Defect
CAST_B1146,729.08,1.1,1.0,Al-Si7Mg,6.35,22.0,Gas Porosity
CAST_B1147,731.35,1.05,3.0,Al-Si7Mg,3.59,26.0,No Defect
CAST_B1148,730.15,0.95,4.0,Al-Zn10,2.76,33.6,No Defect
CAST_B1149,729.23,0.95,5.0,Al-Zn10,3.53,20.8,No Defect
CAST_B1150,730.79,1.04,3.0,Al-Cu4,4.3,23.7,No Defect
CAST_B1151,729.47,0.97,4.0,Al-Zn10,4.37,,No Defect
CAST_B1152,,1.96,1.0,Al-Cu4,4.37,,Shrinkage Porosity
,730.69,1.07,4.0,Al-Cu4,3.84,20.1,No Defect
,729.54,1.02,4.0,Al-Si7Mg,3.01,18.6,No Defect
CAST_B1155,,1.03,4.0,Al-Zn10,4.43,11.3,No Defect
CAST_B1156,741.92,1.9,5.0,Al-Zn10,4.47,17.0,Hot Tear
CAST_B1157,728.0,,3.0,Al-Cu4,3.32,24.1,No Defect
CAST_B1158,729.83,1.01,5.0,Al-Si7Mg,4.2,18.4,No Defect
,731.15,0.94,5.0,Al-Cu4,3.11,21.0,No Defect
CAST_B1160,740.3,1.45,4.0,Al-Si7Mg,3.11,,Shrinkage Porosity
CAST_B1161,731.08,0.98,3.0,Al-Zn10,3.19,24.4,No Defect
,733.94,0.98,1.0,Al-Si7Mg,8.11,24.3,Gas Porosity
CAST_B1163,730.69,0.88,3.0,Al-Zn10,4.26,25.6,No Defect
CAST_B1164,,1.0,2.0,Al-Si7Mg,6.3,,Gas Porosity
CAST_B1165,730.89,1.05,3.0,Al-Si7Mg,3.35,12.0,No Defect
CAST_B1166,728.45,0.98,3.0,Al-Zn10,3.71,17.4,No Defect
CAST_B1167,,0.97,4.0,Al-Cu4,4.65,20.8,No Defect
CAST_B1168,735.56,1.87,4.0,Al-Cu4,4.65,24.2,Shrinkage Porosity
CAST_B1169,741.29,2.18,1.0,Al-Cu4,4.65,32.8,Shrinkage Porosity
CAST_B1170,728.99,1.01,4.0,Al-Si7Mg,4.12,16.7,No Defect
CAST_B1171,737.21,1.68,2.0,Al-Si7Mg,4.12,27.9,Shrinkage Porosity
CAST_B1172,739.45,2.84,1.0,Al-Zn10,4.09,15.0,Hot Tear
,747.03,2.66,1.0,Al-Zn10,3.38,9.1,Hot Tear
CAST_B1174,731.44,0.99,5.0,Al-Cu4,3.86,14.1,No Defect
CAST_B1175,730.19,0.9,3.0,Al-Si7Mg,3.37,20.2,No Defect
,730.25,1.01,3.0,Al-Zn10,3.08,27.9,No Defect
CAST_B1177,734.02,0.96,2.0,Al-Cu4,6.08,14.0,Gas Porosity
CAST_B1178,729.55,1.01,4.0,Al-Zn10,4.11,18.4,No Defect
,730.64,0.98,3.0,Al-Si7Mg,3.97,17.0,No Defect
,756.0,2.46,2.0,Al-Cu4,5.15,10.5,Hot Tear
CAST_B1181,729.88,0.94,5.0,Al-Si7Mg,3.47,29.6,No Defect
CAST_B1182,731.27,0.98,5.0,Al-Si7Mg,3.71,16.9,No Defect
CAST_B1183,729.88,0.97,3.0,Al-Zn10,3.31,24.6,No Defect
CAST_B1184,721.44,1.06,1.0,Al-Si7Mg,5.22,24.9,Gas Porosity
CAST_B1185,,0.87,5.0,Al-Si7Mg,4.65,23.7,No Defect
CAST_B1186,,1.89,5.0,Al-Zn10,4.65,24.1,Shrinkage Porosity
CAST_B1187,730.17,1.12,4.0,Al-Zn10,3.09,18.3,No Defect
CAST_B1188,724.03,0.66,1.0,Al-Cu4,4.08,14.9,Gas Porosity
CAST_B1189,729.1,0.92,5.0,Al-Zn10,3.84,29.4,No Defect
,741.97,2.1,5.0,Al-Zn10,3.84,31.6,Shrinkage Porosity
CAST_B1191,730.45,1.0,4.0,Al-Cu4,2.75,15.9,No Defect
CAST_B1192,730.67,1.16,5.0,Al-Si7Mg,4.07,16.8,No Defect
CAST_B1193,729.62,1.01,5.0,Al-Cu4,3.13,22.6,No Defect
CAST_B1194,732.24,1.05,4.0,Al-Si7Mg,3.67,9.4,No Defect
CAST_B1195,729.62,1.01,5.0,Al-Zn10,3.52,24.5,No Defect
CAST_B1196,738.08,1.55,1.0,Al-Si7Mg,3.52,25.6,Shrinkage Porosity
CAST_B1197,731.01,1.03,5.0,Al-Zn10,2.85,22.0,No Defect
CAST_B1198,740.6,1.59,3.0,Al-Cu4,2.85,26.9,Shrinkage Porosity
CAST_B1199,729.13,0.89,5.0,Al-Zn10,3.77,23.4,No Defect
CAST_B1200,731.12,1.01,,Al-Si7Mg,3.57,17.7,No Defect
,744.18,2.23,1.0,Al-Si7Mg,3.57,27.5,Shrinkage Porosity
CAST_B1202,729.65,1.07,5.0,Al-Cu4,2.8,15.2,No Defect
CAST_B1203,720.61,1.09,1.0,Al-Si7Mg,6.58,26.5,Gas Porosity
CAST_B1204,728.57,1.02,4.0,Al-Si7Mg,3.83,15.4,No Defect
CAST_B1205,730.4,1.06,5.0,Al-Zn10,3.17,21.7,No Defect
CAST_B1206,730.39,,4.0,Al-Cu4,3.49,27.9,No Defect
,730.25,1.0,,Al-Zn10,2.6,26.6,No Defect
,729.03,1.08,5.0,Al-Cu4,3.12,20.9,No Defect
CAST_B1209,739.09,1.53,5.0,Al-Zn10,3.12,,Shrinkage Porosity
CAST_B1210,731.49,0.98,3.0,Al-Cu4,3.58,20.2,No Defect
CAST_B1211,739.33,1.69,2.0,Al-Si7Mg,3.58,28.4,Shrinkage Porosity
CAST_B1212,730.48,1.0,5.0,Al-Cu4,4.17,,No Defect
CAST_B1213,744.55,,4.0,Al-Si7Mg,2.59,16.3,Hot Tear
CAST_B1214,730.16,1.0,1.0,Al-Zn10,5.35,18.0,Gas Porosity
CAST_B1215,729.93,1.06,4.0,Al-Zn10,4.22,23.5,No Defect
CAST_B1216,730.88,1.03,5.0,Al-Cu4,4.61,14.7,No Defect
CAST_B1217,728.23,1.0,3.0,Al-Zn10,2.94,24.4,No Defect
CAST_B1218,728.15,1.01,3.0,Al-Zn10,4.05,7.0,No Defect
CAST_B1219,737.87,2.93,1.0,Al-Zn10,4.2,16.3,Hot Tear
CAST_B1220,735.57,2.26,2.0,Al-Si7Mg,4.2,29.0,Shrinkage Porosity
CAST_B1221,743.59,1.66,5.0,Al-Si7Mg,4.2,29.1,Shrinkage Porosity
CAST_B1222,729.84,1.05,5.0,Al-Cu4,3.33,13.1,No Defect
CAST_B1223,727.38,1.07,4.0,Al-Zn10,2.91,19.7,No Defect
CAST_B1224,730.9,0.97,4.0,Al-Si7Mg,3.29,11.4,No Defect
CAST_B1225,740.99,1.57,4.0,Al-Cu4,3.29,30.0,Shrinkage Porosity
CAST_B1226,745.66,2.76,4.0,Al-Cu4,3.57,,Hot Tear
CAST_B1227,729.39,1.04,3.0,Al-Cu4,4.25,22.2,No Defect
CAST_B1228,,2.43,1.0,Al-Zn10,1.45,14.9,Hot Tear
CAST_B1229,722.22,1.15,1.0,Al-Zn10,4.69,20.6,Gas Porosity
CAST_B1230,729.92,1.01,5.0,Al-Zn10,4.65,,No Defect
CAST_B1231,730.23,1.02,3.0,Al-Zn10,4.01,23.7,No Defect
CAST_B1232,727.47,1.04,5.0,Al-Si7Mg,3.37,23.6,No Defect
CAST_B1233,731.72,0.94,,Al-Cu4,5.41,15.3,Gas Porosity
CAST_B1234,730.42,1.04,5.0,Al-Zn10,3.52,32.1,No Defect
CAST_B1235,730.72,0.99,4.0,Al-Zn10,3.85,25.1,No Defect
CAST_B1236,739.91,1.58,2.0,Al-Zn10,3.85,28.3,Shrinkage Porosity
CAST_B1237,722.62,1.29,2.0,Al-Si7Mg,9.17,24.9,Gas Porosity
CAST_B1238,731.02,0.98,5.0,Al-Cu4,4.37,19.8,No Defect
CAST_B1239,736.1,1.7,4.0,Al-Si7Mg,4.37,24.1,Shrinkage Porosity
CAST_B1240,726.39,0.9,2.0,Al-Si7Mg,4.99,25.7,Gas Porosity
CAST_B1241,751.87,1.88,4.0,Al-Cu4,2.75,19.5,Hot Tear
CAST_B1242,731.53,0.91,2.0,Al-Si7Mg,6.63,,Gas Porosity
,745.33,2.21,4.0,Al-Zn10,5.31,,Hot Tear
CAST_B1244,740.92,1.88,2.0,Al-Zn10,5.31,,Shrinkage Porosity
CAST_B1245,730.56,0.97,5.0,Al-Cu4,3.97,20.7,No Defect
