Household_ID,Location,Annual_Income_Lakhs,Annual_Expenditure_Lakhs
2928,Rural,30.77,17.45
3085,Rural,25.18,15.98
1214,Rural,14.87,8.29
4437,Urban,26.49,19.29
3762,Rural,24.81,12.72
3189,Rural,20.12,5.67
3562,Rural,31.82,18.29
4819,Rural,15.3,13.02
4812,Rural,29.68,18.08
4158,Rural,22.75,16.07
3941,Rural,18.33,11.86
2712,Urban,15.37,15.47
21,Rural,24.67,16.46
4498,Urban,17.26,14.02
606,Urban,22.53,16.91
1036,Rural,11.31,7.06
157,Rural,9.71,6.51
3548,Urban,15.58,15.0
4245,Urban,19.27,14.86
360,Urban,19.45,16.21
4616,Urban,30.67,22.28
4450,Rural,13.88,5.73
281,Rural,34.63,12.33
3089,Urban,5.61,8.62
3349,Urban,18.5,17.58
1773,Rural,23.72,11.31
3402,Urban,32.88,23.8
4166,Urban,29.43,21.98
3425,Rural,8.04,6.44
2936,Urban,7.78,8.2
4225,Urban,31.88,24.93
3935,Urban,22.89,14.85
950,Urban,29.59,23.09
1571,Urban,21.43,17.68
3634,Urban,16.69,10.87
2353,Rural,19.39,12.25
4814,Urban,28.1,22.59
4316,Urban,7.1,7.39
344,Urban,9.0,12.08
2294,Urban,19.28,15.53
494,Urban,12.51,10.82
2013,Rural,,6.4
1894,Urban,15.89,11.62
1304,Urban,28.12,20.3
3574,Rural,12.33,7.34
3984,Urban,21.16,16.85
1751,Urban,12.91,13.99
3056,Rural,16.33,9.36
3571,Urban,,16.29
2923,Rural,9.53,3.12
4172,Rural,30.52,18.38
91,Urban,5.13,9.5
2239,Urban,24.52,20.75
1146,Rural,9.21,3.14
1696,Urban,26.97,19.28
3686,Urban,22.15,19.46
4666,Rural,27.08,14.17
4257,Rural,11.51,7.47
1835,Rural,32.03,20.23
4969,Rural,27.24,16.11
3650,Rural,10.63,4.92
3662,Urban,16.77,11.78
3417,Urban,28.04,22.64
4436,Urban,13.19,9.28
723,Urban,28.66,20.63
1939,Urban,19.44,13.66
3303,Urban,25.97,18.25
4965,Urban,19.25,15.17
4502,Urban,26.82,21.47
963,Urban,16.6,13.11
1702,Urban,27.11,22.8
2260,Urban,17.78,17.09
3950,Urban,21.89,16.7
3178,Rural,26.65,12.71
1748,Urban,6.3,7.72
1286,Urban,,16.85
1218,Rural,15.36,10.64
1604,Urban,29.02,19.36
2552,Urban,16.68,12.42
3037,Urban,12.41,12.82
1752,Urban,21.29,18.13
425,Urban,17.79,14.8
1161,Rural,8.8,5.69
3393,Rural,33.74,20.72
381,Urban,10.96,9.94
4012,Urban,15.38,10.6
2532,Rural,7.7,7.4
3779,Rural,27.96,13.27
764,Rural,9.42,9.54
1687,Rural,15.55,10.09
4632,Urban,25.56,18.22
885,Rural,18.89,8.54
3894,Urban,19.31,15.62
3974,Rural,6.47,3.01
509,Rural,12.0,6.25
2291,Rural,26.39,13.02
179,Rural,20.69,12.56
3815,Urban,24.29,19.75
4810,Rural,20.54,13.34
1260,Urban,10.68,12.79
4807,Urban,26.9,18.9
4388,Urban,12.25,8.51
656,,8.03,9.18
1241,Rural,32.51,17.75
843,Urban,6.9,8.4
2806,Rural,7.32,3.75
2767,Urban,12.76,13.36
4920,Urban,17.45,17.0
2329,Rural,9.86,5.37
837,Rural,31.48,17.66
1513,Rural,30.21,17.72
4285,Urban,30.24,23.17
2757,,12.12,14.14
586,Urban,5.71,8.94
337,Rural,14.38,10.52
3290,Urban,,12.44
1195,Urban,25.45,21.7
3873,Urban,24.82,20.05
2646,Urban,25.36,20.11
3411,Urban,17.9,14.49
1417,Urban,15.95,13.0
4894,Urban,26.29,19.09
2271,Urban,13.94,15.91
2462,Rural,15.39,7.73
2702,Rural,27.27,13.81
1558,Urban,5.64,7.49
4039,Rural,26.81,13.62
3549,Urban,16.03,15.54
392,Urban,21.65,21.41
3334,Urban,17.39,14.14
1904,Urban,23.94,16.34
819,Urban,32.79,24.72
3475,Rural,31.07,14.82
1922,Urban,5.5,8.09
1579,Rural,15.49,9.48
3934,Urban,24.7,15.61
1469,Rural,32.96,19.93
3665,Urban,21.18,18.85
1901,Urban,11.12,12.54
3045,Rural,17.98,12.33
1180,Urban,13.88,8.96
1379,Urban,34.0,23.48
2178,Rural,27.88,13.29
4797,Urban,32.7,26.47
3767,Urban,28.55,22.82
2946,Urban,8.37,8.61
3588,Rural,27.65,13.12
1715,Urban,30.57,21.44
88,Rural,5.92,3.76
2898,Urban,19.2,14.56
1680,Rural,20.35,11.0
3172,Urban,28.88,18.09
1641,Urban,27.45,21.13
4292,Urban,21.01,18.75
4521,Rural,13.99,6.59
817,Urban,7.73,9.93
3075,Urban,29.83,19.96
4280,Urban,6.47,8.65
4652,Rural,9.02,2.83
2454,Urban,22.72,15.91
4900,Rural,5.29,7.36
1622,Urban,16.6,17.92
1224,Rural,15.37,9.21
258,Rural,21.04,9.95
1330,Urban,5.63,7.42
2494,Urban,21.65,16.27
1709,Rural,24.51,10.9
4089,Rural,11.0,12.09
1420,Rural,19.66,9.13
578,Rural,34.46,15.63
3937,Urban,6.73,7.99
1427,Urban,33.37,22.43
4906,Urban,16.14,10.17
4719,Urban,9.26,10.36
2317,Urban,5.22,8.92
2545,Urban,9.17,10.48
4795,Urban,19.93,14.59
4960,Rural,11.25,4.33
4711,,9.83,10.33
3333,Urban,28.9,21.72
488,Urban,24.53,19.46
2219,Rural,33.07,16.53
4339,Urban,13.63,14.19
2250,Urban,29.18,20.72
2723,Rural,4.17,4.5
145,Urban,16.6,15.87
2739,Rural,24.62,12.89
2265,Rural,28.98,11.04
2745,Rural,18.37,9.11
1290,,18.02,18.03
1753,Urban,13.43,12.45
2015,Urban,19.63,17.09
3557,Urban,6.08,11.48
2828,Urban,14.41,9.69
1690,Rural,6.25,6.22
1668,Rural,27.08,16.07
1882,Rural,10.38,8.83
3709,Urban,6.1,5.1
2488,Rural,33.8,17.58
1656,Rural,16.96,14.0
3154,Urban,33.23,23.94
3366,Rural,27.67,18.07
1852,Rural,32.88,18.22
3286,Urban,30.27,20.08
2609,Rural,14.43,9.7
996,Urban,25.22,23.22
1712,Urban,11.19,11.99
1356,Rural,34.02,17.56
1688,Urban,14.9,14.1
722,Urban,17.11,15.65
2270,Urban,15.0,11.98
441,Urban,18.27,15.14
2780,Urban,20.06,17.65
1823,Rural,34.23,18.82
2892,Rural,19.61,10.31
1825,Rural,10.67,5.34
1744,Urban,30.72,22.56
812,Rural,34.57,17.88
190,Urban,,10.48
590,Urban,23.87,16.88
1339,Urban,18.28,13.29
2298,Urban,19.11,17.53
2858,Urban,11.17,10.46
80,Urban,17.3,10.95
4908,Urban,4.01,5.76
239,Rural,5.19,0.86
2672,Urban,21.4,15.8
4947,Rural,14.26,12.26
4321,,10.5,11.42
989,Urban,24.64,18.65
2098,Rural,5.35,2.77
4427,Urban,12.85,9.32
4304,Urban,19.66,16.76
431,Urban,22.83,17.27
1797,Rural,33.81,18.65
1962,Urban,16.39,14.78
3193,Rural,14.39,8.57
294,Urban,4.68,6.99
3447,Rural,21.52,11.71
2434,Urban,10.52,10.01
287,Urban,34.5,25.81
76,Rural,20.06,12.17
1652,Urban,30.81,22.63
2147,Urban,27.37,21.32
3876,Urban,7.49,7.16
1913,Rural,10.22,7.38
2636,Rural,5.36,1.75
1189,Urban,8.2,8.66
631,Rural,27.46,13.46
3153,Rural,7.2,5.87
2179,Rural,10.53,7.48
1202,Urban,16.48,15.93
3252,Urban,34.33,23.78
808,Rural,34.42,19.53
709,,24.35,13.59
2241,Rural,29.4,15.84
537,Rural,8.51,6.07
1626,Rural,9.32,4.52
4332,Urban,27.74,21.73
1212,Urban,7.82,9.77
195,Urban,10.35,10.29
4092,Urban,6.2,4.82
106,Urban,7.31,9.52
4653,Urban,11.73,12.08
468,Rural,30.61,17.57
501,Rural,20.08,12.01
3489,Urban,11.18,11.92
1613,Urban,11.68,12.97
644,Urban,14.84,12.88
2887,Urban,10.51,12.42
1699,Rural,29.07,17.18
3652,Urban,16.8,13.9
192,Rural,,16.05
4749,Urban,5.12,3.48
1222,Urban,25.92,16.71
726,Rural,23.95,13.9
3790,Rural,24.71,16.47
3522,Urban,17.16,15.51
138,Rural,6.47,1.93
2868,Rural,14.72,12.02
1082,Urban,33.93,27.1
2258,Urban,5.36,5.97
3327,Rural,7.9,10.88
679,Rural,26.08,10.03
777,Urban,23.43,18.47
2207,Urban,11.84,12.23
3963,Urban,17.97,16.03
2,Rural,18.68,8.59
4958,Rural,,15.67
4347,Rural,27.32,15.66
2827,Rural,33.27,17.26
3768,Urban,7.94,7.69
40,Urban,32.6,22.99
1673,Rural,11.64,6.34
2638,Rural,23.32,10.82
897,Urban,32.36,22.39
3020,Rural,31.72,16.79
1049,Rural,29.25,16.79
62,Urban,32.6,26.84
196,Urban,28.74,26.52
4994,Rural,29.38,14.65
505,Rural,13.62,11.01
4610,Urban,,21.22
173,Urban,4.65,5.55
1666,Rural,27.46,15.44
4278,Urban,20.78,14.72
4736,,22.74,20.42
1877,Urban,9.98,10.79
3162,Urban,7.93,7.51
3633,Urban,5.08,5.79
1247,Urban,9.17,9.01
4444,Urban,15.78,15.0
981,Urban,24.0,14.09
3815,Urban,24.29,19.75
1485,Urban,10.04,8.58
51,Rural,10.12,3.73
3911,Urban,26.7,18.4
3005,Urban,21.62,16.81
1488,Rural,15.89,12.94
3493,Rural,18.53,11.81
1840,Urban,34.01,25.22
1780,Rural,5.7,4.33
4402,Urban,13.11,11.71
4034,Rural,29.83,18.23
4053,Rural,5.26,3.33
4273,Urban,24.57,14.67
4585,Rural,33.26,16.0
3727,Urban,16.52,12.43
4718,Rural,12.43,8.84
439,Rural,4.94,4.27
3590,Urban,24.79,21.29
3874,Rural,4.14,4.5
2274,Rural,4.73,4.58
2918,Rural,7.76,5.78
4566,Rural,14.55,8.2
3051,Urban,7.95,7.38
4060,Rural,10.24,8.75
4087,Urban,16.37,13.98
3002,Rural,25.31,13.09
2738,Urban,10.47,7.9
3744,Urban,5.67,1.47
3106,Urban,22.74,17.22
489,Rural,22.9,11.77
4193,Urban,32.95,23.76
2333,Rural,33.21,16.32
1836,Rural,8.85,5.64
4200,Rural,21.69,12.67
2521,Rural,15.45,11.34
4985,Urban,30.98,22.86
2926,Rural,12.08,6.98
2152,Urban,7.22,9.61
1466,Urban,5.72,4.43
57,Urban,17.57,14.46
1619,Urban,19.55,15.33
4762,Rural,8.55,5.67
1171,Rural,5.64,6.16
1921,Rural,32.97,18.57
1236,Urban,30.14,21.02
1211,Urban,19.39,19.33
1993,Rural,11.44,6.49
2356,Urban,27.57,17.84
912,Urban,32.72,24.3
4720,Rural,26.27,15.12
1021,Rural,16.96,13.35
3070,Rural,21.69,13.29
465,Rural,12.27,9.39
3684,Urban,22.79,18.6
2208,Rural,16.61,9.59
2410,Urban,22.51,18.93
4824,Urban,10.15,9.99
205,Rural,34.28,16.32
252,Urban,33.97,23.29
1160,Urban,29.92,24.25
3834,Urban,19.86,15.53
3700,Urban,21.78,16.82
1812,Rural,5.61,5.66
3282,Urban,34.26,23.65
1288,Urban,17.4,15.22
3130,Rural,11.24,7.61
330,Urban,19.82,17.36
3599,Urban,20.14,15.6
969,Urban,33.03,23.91
3760,,19.25,10.23
3138,Rural,33.88,19.31
2021,Rural,21.07,9.98
1763,Urban,9.09,8.76
4713,Urban,11.99,8.14
543,Urban,30.91,22.07
791,Urban,12.22,12.35
3908,Urban,23.49,18.52
3787,Urban,19.37,17.85
1103,Rural,13.9,9.45
3859,Urban,21.8,17.91
163,Rural,14.11,5.55
4013,Rural,6.6,4.53
2428,Rural,13.6,9.3
3813,Urban,30.22,24.41
2299,Urban,15.29,15.76
2847,Rural,29.8,16.04
1721,Urban,27.94,21.49
73,Urban,19.04,14.11
1324,Urban,15.14,10.03
14,Urban,23.7,19.3
4664,Rural,5.22,3.94
1807,Rural,26.92,18.08
183,Rural,8.14,4.51
478,Urban,25.49,17.44
2439,Urban,12.67,10.55
1756,Rural,17.94,13.08
4162,Urban,23.78,15.61
3354,Urban,21.0,17.96
1867,,16.18,15.57
3631,Rural,24.9,11.51
1674,Rural,5.96,-1.01
2889,Rural,13.81,4.92
3267,Urban,24.37,16.08
2275,Rural,17.34,8.85
575,Rural,24.07,14.49
3682,Urban,29.05,22.35
4438,Rural,11.12,8.21
75,Rural,,18.73
4308,Rural,26.69,16.02
1654,Urban,9.53,9.26
241,Rural,34.35,17.41
2580,Rural,25.87,15.22
4813,Urban,11.81,10.84
4768,Urban,27.59,19.9
1657,Urban,11.79,8.13
2993,Urban,12.49,11.44
490,Rural,32.37,15.18
1765,Urban,28.58,19.96
2302,Urban,17.34,14.83
1060,Rural,29.79,15.8
3388,Urban,14.33,9.87
2158,Urban,18.32,11.63
3615,Urban,11.22,10.65
3987,Urban,15.66,13.15
3960,Urban,30.45,22.33
1193,Urban,28.27,18.65
3202,Urban,16.63,12.0
2280,Urban,22.79,19.91
3509,Rural,32.39,17.07
3270,Rural,25.58,14.06
3588,Rural,27.65,13.12
3885,,29.12,13.79
402,Rural,33.97,17.52
2559,Urban,20.39,15.37
2540,Rural,16.2,8.28
1737,Urban,33.26,23.8
2245,Rural,12.82,8.36
4400,Urban,4.7,8.11
1468,Urban,6.19,10.38
1132,Urban,27.45,19.99
2089,Rural,13.61,6.34
305,Rural,17.42,9.41
3409,Urban,19.8,14.9
2987,Urban,28.3,19.31
4178,Rural,28.74,16.75
33,Urban,21.5,16.55
647,Urban,4.82,7.06
4850,Urban,19.62,14.91
3584,Rural,10.87,5.97
2034,Rural,22.19,11.15
1016,Rural,27.36,16.05
3495,Rural,9.76,4.71
68,Rural,14.43,7.95
1798,Urban,13.7,13.45
363,Urban,20.86,16.14
1859,Rural,32.2,17.35
3440,Rural,,10.95
1370,Urban,29.74,20.97
847,Urban,10.56,10.14
429,Urban,25.12,19.18
1099,Rural,10.14,5.2
1106,Urban,9.53,7.41
319,Urban,8.43,8.61
1760,Urban,12.89,12.01
2416,Rural,20.85,13.75
1627,,29.04,19.05
2862,Urban,10.14,10.95
1136,Urban,7.17,9.09
3123,Urban,7.66,10.12
1454,Urban,13.93,12.69
1274,Urban,21.03,14.32
2395,Rural,12.62,8.02
945,Urban,33.93,25.23
6,Urban,6.73,7.9
2594,Urban,31.74,21.67
89,Rural,21.88,13.09
2981,Urban,10.21,8.42
1681,Urban,24.32,21.52
1111,Rural,34.27,19.32
4168,Urban,9.34,8.93
1014,Urban,19.56,16.3
2635,Rural,24.69,10.6
571,Urban,34.24,24.39
3272,Urban,7.35,9.08
455,Urban,25.82,23.88
801,Rural,13.28,11.33
1632,Urban,8.29,11.44
643,Urban,14.13,11.11
594,Urban,34.15,23.38
1514,Urban,28.77,20.45
2195,Urban,29.19,21.29
1948,Urban,11.09,11.16
1996,Rural,21.97,10.93
2486,Rural,25.04,13.75
3053,Urban,33.77,25.95
608,Urban,31.62,21.29
2402,Urban,25.41,17.29
4371,Urban,28.2,16.88
522,Urban,21.9,19.03
1013,Rural,34.35,18.23
4907,Rural,30.19,16.18
1176,Urban,20.34,19.29
2177,Urban,34.74,23.53
4144,Rural,19.86,13.05
526,Urban,5.07,6.97
2894,Rural,,11.23
2952,Rural,5.96,5.87
2314,Rural,15.24,8.9
3284,Rural,14.21,7.82
3565,Urban,19.04,22.0
3446,Rural,25.36,13.27
4923,Urban,22.75,18.04
1152,Rural,20.75,9.62
2418,Urban,9.64,6.44
3390,Rural,6.8,8.8
4281,Urban,16.96,14.18
4274,Urban,15.81,12.4
550,Rural,8.21,6.27
4567,Urban,23.25,17.37
3136,Rural,5.97,2.51
3513,Rural,26.09,15.35
4656,Urban,21.44,13.88
900,Urban,20.52,18.69
84,Urban,11.43,14.64
980,Urban,21.85,15.81
724,Rural,8.38,8.07
3097,Rural,6.57,5.44
2176,Rural,18.76,10.26
4919,Rural,4.92,1.7
3901,Urban,15.32,13.19
3836,Urban,5.3,6.95
3706,Rural,19.64,9.16
4476,Urban,,21.69
2359,Urban,10.11,9.19
3357,Rural,12.74,2.41
3756,Urban,30.49,20.92
2798,Rural,,10.35
566,Urban,4.76,6.1
3772,Rural,12.16,7.6
1475,Urban,26.13,18.06
435,Urban,22.48,19.55
3791,Urban,,21.92
2528,Rural,20.98,10.98
2510,Rural,32.84,18.31
800,Rural,9.08,3.68
3844,Urban,31.17,22.47
2665,Rural,,13.64
2050,Urban,19.1,18.06
4911,Rural,14.17,11.45
3591,Rural,30.27,15.01
2637,Rural,14.13,10.76
3176,Urban,12.93,12.15
3703,Urban,14.01,10.19
1436,Urban,21.43,16.48
3516,Rural,11.82,6.12
47,Urban,19.18,17.75
116,Rural,23.55,15.97
52,Rural,28.96,17.94
1086,Urban,18.19,18.25
2968,Urban,,5.42
436,Rural,26.93,15.74
2093,Urban,25.37,20.54
2782,Rural,4.96,4.17
3964,Urban,4.36,9.89
2917,Rural,25.1,14.24
2335,Urban,14.92,9.97
2337,Urban,5.54,9.65
2320,Urban,33.42,25.09
266,Rural,19.89,17.43
4675,Urban,16.34,15.32
3551,Rural,32.35,16.51
3903,Rural,28.2,14.57
181,Urban,16.03,12.22
3254,Urban,23.3,13.03
1512,Rural,28.27,13.82
2817,,11.86,11.21
1073,Urban,9.23,8.22
3805,Urban,25.29,20.2
3653,Rural,11.06,9.38
956,Urban,23.3,16.65
4584,Rural,8.15,7.69
2094,Urban,,5.77
3827,Urban,24.16,19.55
875,Urban,,17.0
2489,Urban,22.58,21.17
3421,Rural,21.73,13.12
4241,Rural,14.38,6.38
3943,Urban,30.77,24.0
2851,Rural,13.4,8.85
3205,Rural,24.59,15.15
4133,Rural,20.15,11.32
1005,Rural,8.87,5.09
3265,Rural,29.32,20.7
2826,Rural,30.56,15.36
2886,Rural,29.5,18.08
1677,Urban,23.65,14.97
3668,Urban,9.5,9.21
282,Urban,19.04,16.02
1771,Urban,7.5,8.87
3595,Urban,26.95,22.69
747,Urban,24.9,14.54
2339,Urban,24.28,15.56
4056,Urban,33.47,23.1
569,Rural,29.93,14.05
2883,Urban,21.04,15.14
610,Rural,18.24,11.81
2424,Urban,16.89,13.58
4488,Urban,9.78,7.05
3264,Urban,4.68,11.53
4655,Urban,20.1,15.19
2605,Urban,13.93,12.4
4459,Urban,24.56,17.62
1107,Urban,19.28,15.17
3731,Urban,,12.66
2934,Urban,14.45,12.17
1766,Urban,32.08,25.8
2107,Rural,4.87,5.94
3341,Rural,29.47,15.8
4109,Rural,10.9,6.21
4680,Rural,14.2,6.31
4843,Urban,13.12,14.26
317,Urban,12.64,14.55
2221,Rural,33.33,23.17
884,Urban,34.87,22.59
1534,Urban,4.28,5.3
4300,Urban,7.05,8.27
850,Urban,19.69,15.19
3347,Urban,29.15,21.92
669,Urban,,8.34
1405,Rural,,6.42
865,Urban,26.26,19.63
4827,Rural,18.75,12.5
1018,Urban,20.95,15.56
1244,Rural,26.96,14.2
2896,Rural,30.31,16.1
4699,Urban,20.49,17.86
3929,Rural,7.83,3.78
1559,Rural,,17.29
531,Rural,20.91,10.42
986,Urban,4.43,7.52
10,Rural,17.34,11.74
1700,Urban,13.14,11.23
1431,Urban,26.36,22.64
3298,Urban,23.98,21.94
2133,Urban,24.81,19.89
4809,Urban,34.58,31.31
1642,Rural,28.62,14.66
177,Rural,31.44,17.06
1180,Urban,,8.96
849,Urban,13.92,8.44
2909,Urban,16.24,12.46
1273,Rural,6.03,5.78
878,Rural,24.75,16.16
771,Urban,23.63,20.42
628,Rural,14.61,9.23
3216,Urban,19.7,16.8
1003,Rural,31.04,15.07
342,Urban,33.4,24.02
1009,Urban,23.43,19.19
699,Urban,34.51,22.57
2640,Rural,4.74,7.61
4179,Urban,21.46,20.23
326,Rural,21.93,11.51
1911,Urban,16.9,13.01
129,Urban,14.64,9.53
1458,Rural,16.58,11.28
4568,Urban,31.62,23.82
3145,Urban,33.48,24.08
4406,Rural,16.62,8.45
2664,Rural,19.51,10.95
3583,Urban,31.44,22.11
3608,Urban,11.75,10.34
4932,Urban,7.19,6.97
1112,Urban,15.66,10.8
3907,Urban,23.78,15.42
772,Rural,26.35,17.82
941,Urban,16.74,12.63
2845,Urban,29.44,25.02
1090,,,5.9
3654,Urban,22.1,19.53
1188,Urban,13.21,15.91
4365,Urban,12.83,8.68
335,Urban,33.96,26.49
1683,Rural,30.8,13.83
2811,Urban,10.92,12.9
2065,Urban,8.06,12.02
2558,Urban,19.74,21.11
1069,,7.31,9.45
2285,Urban,10.44,9.01
2307,Urban,29.82,24.93
680,Rural,9.45,7.09
3459,Rural,,16.97
833,Urban,29.3,22.16
748,Urban,34.38,24.19
264,Urban,5.69,7.37
1999,Urban,14.71,16.05
1770,Urban,,13.04
2058,Urban,11.66,8.92
1639,Rural,6.65,2.24
2085,Urban,24.09,16.07
1907,Rural,11.16,7.39
3641,Urban,29.64,20.5
3306,Urban,10.24,10.05
4691,Urban,33.98,22.06
55,Urban,17.52,17.22
844,Rural,4.52,5.53
4231,Rural,18.75,14.8
4503,Urban,21.26,16.36
4244,Urban,25.82,22.7
2859,Urban,8.23,9.75
110,Urban,33.95,26.43
2348,Urban,18.59,16.42
574,Rural,24.04,12.33
4878,Rural,15.54,11.81
3364,Urban,18.05,12.1
1460,Rural,14.77,9.5
3982,Rural,24.11,12.89
1550,Rural,17.7,11.83
2518,Urban,,11.28
2315,Rural,6.06,0.7
1362,Urban,18.44,18.05
4569,Urban,19.38,18.68
4353,Urban,31.17,27.44
2044,Urban,8.67,12.86
883,Urban,15.12,15.44
4291,Urban,19.87,16.83
2278,Urban,6.93,9.26
2763,Rural,16.14,11.47
1128,Urban,13.3,14.12
4603,Rural,9.3,4.63
1034,Urban,11.24,8.77
1301,Urban,28.27,24.29
3437,Urban,17.95,15.23
2795,Urban,26.54,21.29
338,Rural,21.7,10.37
1472,Rural,29.54,16.17
1442,Urban,4.65,6.95
1792,Rural,13.41,7.6
2954,Urban,5.77,6.69
1079,Urban,21.1,17.91
1263,Urban,8.85,10.66
4599,Urban,11.5,10.53
514,Rural,25.94,14.99
3016,Urban,27.94,20.73
1210,Rural,5.59,5.14
564,Urban,12.65,9.38
2190,Rural,22.76,15.89
463,Rural,,1.91
4112,Urban,20.36,17.79
1800,Urban,20.33,13.22
4565,Urban,15.75,13.97
730,Urban,32.64,22.21
2742,Urban,9.08,8.25
4396,Rural,4.25,6.17
835,Urban,28.69,18.07
1937,Urban,13.84,14.35
4152,Urban,19.41,17.87
142,Urban,7.91,8.38
2653,Urban,6.27,5.17
1430,Rural,22.31,13.87
2246,Urban,5.46,9.51
3578,Urban,9.36,9.83
296,Urban,8.17,10.9
34,Rural,22.62,15.53
3871,Urban,32.43,19.61
2361,Urban,25.84,19.58
2953,,22.69,12.44
4989,Rural,5.04,4.26
3207,Rural,7.94,6.51
3828,Urban,14.2,15.23
916,Urban,6.61,8.1
2610,Urban,10.55,8.07
2578,Rural,26.15,16.88
2222,Urban,11.59,9.98
517,Urban,29.05,21.3
611,Urban,6.39,7.84
3579,Rural,14.68,6.28
2382,Rural,9.42,6.09
1957,Rural,20.76,10.17
1126,Urban,28.39,22.42
3414,Urban,18.02,12.19
3801,Urban,27.67,21.81
189,Urban,33.08,24.73
3004,Rural,32.6,18.9
3956,Rural,14.0,3.85
2787,Rural,14.6,5.52
438,Rural,30.09,13.84
1473,Rural,24.07,12.36
870,Rural,22.24,14.18
939,Urban,11.41,13.69
3520,Urban,30.23,23.82
4979,Urban,33.47,25.74
530,Rural,13.07,6.97
4424,Rural,16.45,8.9
3864,Urban,23.08,18.02
3027,Rural,29.61,14.76
2760,Urban,10.09,7.7
2111,Urban,26.33,21.64
3863,Urban,30.69,18.94
2514,Urban,7.5,7.44
2815,Urban,11.13,10.19
3817,Urban,22.17,18.05
1931,Urban,13.94,10.32
3705,Rural,12.14,6.48
3569,Rural,17.89,9.96
4334,Rural,26.21,14.46
4333,Urban,17.68,12.89
1045,Rural,25.71,12.38
3296,Urban,30.08,23.75
1377,Urban,26.98,19.34
1865,Rural,20.5,12.05
4771,Urban,27.75,20.42
2805,Urban,7.57,9.72
904,Urban,15.65,14.66
3381,Urban,19.96,20.25
1102,Rural,26.4,16.85
22,Urban,17.5,16.84
1916,Rural,9.36,6.59
3839,Rural,32.53,15.31
398,Urban,18.19,15.67
4513,Urban,6.35,8.29
2225,Urban,31.75,22.49
4775,Urban,28.61,17.99
4933,Rural,11.05,6.7
4017,Rural,7.22,6.66
1165,Urban,11.89,12.05
2499,Rural,10.6,6.26
171,Rural,17.19,11.99
295,Urban,28.01,21.02
1587,Rural,18.59,10.47
1320,Urban,4.91,6.12
72,Urban,26.96,21.47
4420,Urban,,15.53
4175,Rural,12.49,5.66
1932,Urban,6.9,6.51
3030,Rural,28.99,15.58
3539,Rural,18.59,11.54
4990,Rural,29.29,14.87
3343,Rural,9.57,5.58
2156,Urban,29.51,22.57
1520,Rural,8.83,5.41
2074,Rural,6.31,5.86
2478,Rural,4.4,5.28
3058,Urban,11.27,11.21
4576,Urban,14.45,15.43
1410,Rural,33.16,20.15
3992,Urban,10.32,14.25
1135,Rural,4.56,3.72
4140,Urban,23.14,15.74
877,Rural,30.88,16.25
1389,Rural,12.67,7.88
44,Rural,24.67,14.72
2056,Rural,7.71,6.75
3601,Urban,16.97,15.29
359,Rural,30.45,16.08
2498,Rural,30.36,19.68
1011,Urban,28.91,19.59
625,Rural,5.51,0.77
1693,Urban,24.99,21.5
2465,Rural,15.58,7.4
445,Rural,,0.65
3018,Urban,23.15,16.84
4523,Rural,33.11,15.61
2542,Rural,5.9,3.37
927,Urban,28.08,18.69
2338,Urban,12.32,11.02
19,Urban,21.35,15.43
3213,Urban,4.49,6.76
2070,Urban,9.67,8.35
2623,Urban,,5.54
2429,Urban,24.58,19.78
3408,Rural,11.49,4.98
4138,Urban,14.01,7.73
4240,Urban,25.39,21.21
1139,Urban,23.76,19.8
1230,Urban,16.1,15.65
155,Rural,24.97,12.91
607,Urban,30.96,24.67
4516,Urban,9.86,9.61
1547,Rural,21.33,10.57
2670,Urban,14.61,16.03
2160,Rural,22.01,9.63
4909,Rural,9.22,5.34
1032,Urban,15.04,13.38
178,Urban,6.69,10.29
3499,Urban,9.27,9.49
2487,Urban,17.05,11.77
3967,Urban,22.35,17.28
617,Urban,31.19,20.86
3920,Rural,21.7,13.67
524,Rural,18.21,8.87
387,Urban,17.81,14.99
2791,Rural,21.02,10.99
3842,Urban,30.46,22.04
2599,Urban,34.92,27.45
2477,Urban,24.69,20.74
873,Rural,23.47,11.66
2322,Rural,20.49,11.35
1851,Urban,11.03,9.65
3884,Urban,13.91,11.46
859,Urban,4.62,7.1
2295,Urban,8.98,8.72
2481,Urban,14.63,17.48
4975,Urban,17.74,12.1
3830,Urban,12.13,12.34
3144,Urban,15.59,15.51
4573,Urban,5.91,8.18
3100,Urban,22.13,16.71
400,Rural,30.88,19.0
3781,Urban,8.44,7.08
803,Urban,12.42,8.57
1612,Rural,27.69,13.3
3533,Urban,21.27,12.4
4295,Urban,33.41,25.46
3348,Urban,5.02,6.82
1019,Rural,20.93,8.54
1722,Urban,6.34,6.79
3931,Rural,16.21,8.5
2538,Urban,14.88,12.23
3900,Rural,33.24,15.14
4493,Urban,14.8,15.55
4724,Urban,26.81,20.0
2150,Rural,23.15,13.94
4390,Urban,,15.39
2283,Urban,8.36,10.49
1912,Rural,34.31,17.25
3505,Rural,8.75,6.64
1124,Rural,34.98,20.75
2746,Rural,22.58,13.24
3512,Urban,24.2,14.47
4324,Urban,,15.27
4415,Urban,18.5,14.33
2591,Rural,9.95,4.46
3127,Rural,7.94,5.9
926,Urban,26.24,17.01
4003,Rural,26.47,10.2
1337,Urban,9.22,10.6
4256,Rural,14.14,6.67
2136,Rural,26.89,13.96
4271,Rural,13.6,13.35
